theta,h
2.936362974058801534e+00,5.000000000018648416e-01
2.952149871715031626e+00,5.000000000021548319e-01
2.967936769371261718e+00,5.000000000024809044e-01
2.983723667027491810e+00,5.000000000028552716e-01
2.999510564683721903e+00,5.000000000032616132e-01
3.015297462339951995e+00,5.000000000037015946e-01
3.031084359996182087e+00,5.000000000041849857e-01
3.046871257652412623e+00,5.000000000047460924e-01
3.062658155308642716e+00,5.000000000053950178e-01
3.078445052964872808e+00,5.000000000061711747e-01
3.094231950621102900e+00,5.000000000071623818e-01
3.110018848277332992e+00,5.000000000085675911e-01
3.125805745933563085e+00,5.000000000109755538e-01
3.141592643589793177e+00,5.000000000172288850e-01
